,stop_id,stop_name,day,total_usage,num_routes,earliest,latest,num_arrivals,arrival_diff,stop_type,lat,long
185,1316,NW Division & Civic Dr,1,63.0,1,240,1380,88,12.954545454545457,Bus Station,45.505389750000006,-122.58605605
186,9425,NW Division & Angeline Ave,0,30.0,1,0,1380,95,14.526315789473683,Bus Station,45.505389750000006,-122.58605605
187,9425,NW Division & Angeline Ave,1,17.5,1,240,1380,88,12.954545454545457,Bus Station,45.5053727,-122.5945921
188,1334,NW Division & Eastwood Ave,0,39.0,1,0,1380,95,14.526315789473683,Bus Station,45.5053727,-122.5945921
189,1334,NW Division & Eastwood Ave,1,25.0,1,240,1380,88,12.954545454545457,Bus Station,45.505354,-122.6027522
190,1423,SE Division & 174th Ave,0,138.0,1,0,1380,95,14.526315789473683,Bus Station,45.505354,-122.6027522
191,1423,SE Division & 174th Ave,1,98.5,1,240,1380,88,12.954545454545457,Bus Station,45.5053124,-122.6100116
192,14236,SE Division & 168th Ave,0,63.0,1,0,1380,95,14.526315789473683,Bus Station,45.5053124,-122.6100116
193,14236,SE Division & 168th Ave,1,51.5,1,240,1380,88,12.954545454545457,Bus Station,45.5052689,-122.6180441
194,1416,SE Division & 162nd Ave,0,258.0,1,0,1380,95,14.526315789473683,Bus Station,45.5052689,-122.6180441
195,1416,SE Division & 162nd Ave,1,158.0,1,240,1380,88,12.954545454545457,Bus Station,45.5047931,-122.6295727
196,14237,SE Division & 157th Ave,0,98.0,1,0,1380,95,14.526315789473683,Bus Station,45.5047931,-122.6295727
197,14237,SE Division & 157th Ave,1,65.0,1,240,1380,88,12.954545454545457,Bus Station,45.5047999,-122.6346456
198,9263,SE Division & 148th Ave,0,179.0,1,0,1380,95,14.526315789473683,Bus Station,45.5047999,-122.6346456
199,9263,SE Division & 148th Ave,1,146.0,1,240,1380,88,12.954545454545457,Bus Station,45.5048059,-122.6396164
200,1396,SE Division & 142nd Ave,0,110.0,1,0,1380,95,14.526315789473683,Bus Station,45.5048059,-122.6396164
201,1396,SE Division & 142nd Ave,1,77.0,1,240,1380,88,12.954545454545457,Bus Station,45.5048233,-122.645349
202,1390,SE Division & 135th Ave,0,116.0,1,0,1380,95,14.526315789473683,Bus Station,45.5048233,-122.645349
203,1390,SE Division & 135th Ave,1,78.5,1,240,1380,88,12.954545454545457,Bus Station,45.5048585,-122.6547411
204,1387,SE Division & 130th Ave,0,115.0,1,0,1380,95,14.526315789473683,Bus Station,45.5048585,-122.6547411
205,1387,SE Division & 130th Ave,1,69.5,1,240,1380,88,12.954545454545457,Bus Station,45.50797755,-122.6786671
206,1381,SE Division & 122nd Ave,0,295.0,1,0,1380,95,14.526315789473683,Bus Station,45.50797755,-122.6786671
207,1381,SE Division & 122nd Ave,1,205.5,1,240,1380,88,12.954545454545457,Bus Station,45.5101326,-122.6822529
208,14238,SE Division & 116th Ave,0,97.0,1,0,1380,95,14.526315789473683,Bus Station,45.5101326,-122.6822529
209,14238,SE Division & 116th Ave,1,62.5,1,240,1380,88,12.954545454545457,Bus Station,45.5144146,-122.681146
210,1360,SE Division & 101st Ave,0,76.0,1,0,1380,95,14.526315789473683,Bus Station,45.5144146,-122.681146
211,1360,SE Division & 101st Ave,1,44.0,1,240,1380,88,12.954545454545457,Bus Station,45.51479,-122.6797302
212,1501,SE Division & 85th Ave,0,71.0,1,0,1380,95,14.526315789473683,Bus Station,45.51479,-122.6797302
213,1501,SE Division & 85th Ave,1,36.0,1,0,1380,88,15.681818181818182,Bus Station,45.5170858,-122.6797268
214,1499,SE Division & 82nd Ave,0,235.0,1,0,1380,95,14.526315789473683,Bus Station,45.5170858,-122.6797268
215,1499,SE Division & 82nd Ave,1,113.5,1,0,1380,88,15.681818181818182,Bus Station,45.5204166,-122.6779146
216,14240,SE Division & 75th Ave,0,82.0,1,0,1380,95,14.526315789473683,Bus Station,45.5204166,-122.6779146
217,14240,SE Division & 75th Ave,1,45.0,1,0,1380,88,15.681818181818182,Bus Station,45.5230098,-122.6764663
218,1482,SE Division & 67th Ave,0,59.0,1,0,1380,95,14.526315789473683,Bus Station,45.5230098,-122.6764663
219,1482,SE Division & 67th Ave,1,37.5,1,0,1380,88,15.681818181818182,Bus Station,45.525222,-122.6754805
220,14241,SE Division & 59th Ave,0,72.0,1,0,1380,95,14.526315789473683,Bus Station,45.525222,-122.6754805
221,14241,SE Division & 59th Ave,1,43.5,1,0,1380,88,15.681818181818182,Bus Station,45.5252758,-122.6724708
222,14242,SE Division & 51st Ave,0,158.0,1,0,1380,95,14.526315789473683,Bus Station,45.5252758,-122.6724708
223,14242,SE Division & 51st Ave,1,89.5,1,0,1380,88,15.681818181818182,Bus Station,45.5343709,-122.6667377
224,10613,SE Division & 43rd Ave,0,87.0,1,0,1380,95,14.526315789473683,Bus Station,45.5343709,-122.6667377
225,10613,SE Division & 43rd Ave,1,38.0,1,0,1380,88,15.681818181818182,Bus Station,45.5380467,-122.6666661
226,1459,SE Division & Cesar Chavez Blvd,0,134.0,1,0,1380,95,14.526315789473683,Bus Station,45.5380467,-122.6666661
227,1459,SE Division & Cesar Chavez Blvd,1,89.5,1,0,1380,88,15.681818181818182,Bus Station,45.5428592,-122.6666355
228,1452,SE Division & 34th Ave,0,95.0,1,0,1380,95,14.526315789473683,Bus Station,45.5428592,-122.6666355
229,1452,SE Division & 34th Ave,1,73.0,1,0,1380,88,15.681818181818182,Bus Station,45.5446328,-122.666629
230,1448,SE Division & 30th Ave,0,84.0,1,0,1380,95,14.526315789473683,Bus Station,45.5446328,-122.666629
231,1448,SE Division & 30th Ave,1,56.0,1,0,1380,88,15.681818181818182,Bus Station,45.5467889,-122.6666778
232,1442,SE Division & 26th Ave,0,84.0,1,0,1380,95,14.526315789473683,Bus Station,45.5467889,-122.6666778
233,1442,SE Division & 26th Ave,1,51.5,1,0,1380,88,15.681818181818182,Bus Station,45.5482605,-122.6689706
234,14243,SE Division & 20th Ave,0,113.0,2,0,1380,116,11.89655172413793,Bus Station,45.5482605,-122.6689706
235,14243,SE Division & 20th Ave,1,75.0,2,0,1380,100,13.8,Bus Station,45.5482494,-122.672344
